make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern
Acura,MDX SUV AWD,2011,4.3,4,4,5,True
Acura,ZDX SUV AWD,2011,4.3,4,5,4,False
Acura,ILX 4 DR FWD,2018,4.3,4,5,4,False
Acura,MDX SUV FWD,2018,4.7,5,5,4,False
Acura,MDX SUV AWD,2018,4.7,5,5,4,False
Acura,RLX 4 DR FWD,2018,5.0,5,5,5,False
Acura,ZDX SUV 4WD,2012,4.3,4,5,4,False
Acura,RLX 4 DR FWD,2015,5.0,5,5,5,False
Acura,RDX SUV FWD,2015,4.7,5,5,4,False
Acura,RDX SUV AWD,2015,4.7,5,5,4,False
Acura,ZDX SUV 4WD,2013,4.3,4,5,4,False
Acura,TLX 4 DR FWD,2015,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2015,5.0,5,5,5,False
Acura,ILX 4 DR FWD,2015,4.3,4,5,4,False
Acura,MDX SUV FWD,2015,4.7,5,5,4,False
Acura,MDX SUV AWD,2015,4.7,5,5,4,False
Acura,RLX 4 DR FWD,2016,5.0,5,5,5,False
Acura,MDX SUV AWD,2016,4.7,5,5,4,False
Acura,MDX SUV FWD,2016,4.7,5,5,4,False
Acura,ILX 4 DR FWD,2016,4.3,4,5,4,False
Acura,RDX SUV FWD,2016,4.7,5,5,4,False
Acura,RDX SUV AWD,2016,4.7,5,5,4,False
Acura,ILX 4 DR FWD,2013,4.3,4,5,4,False
Acura,ILX Hybrid 4 DR FWD,2013,4.3,4,5,4,False
Acura,TLX 4 DR AWD,2016,5.0,5,5,5,False
Acura,TLX 4 DR FWD,2016,5.0,5,5,5,False
Acura,ILX 4 DR FWD,2014,4.3,4,5,4,False
Acura,ILX Hybrid 4 DR FWD,2014,4.3,4,5,4,False
Acura,MDX SUV FWD,2014,4.7,5,5,4,False
Acura,MDX SUV AWD,2014,4.7,5,5,4,False
Acura,RDX SUV FWD,2014,4.7,5,5,4,False
Acura,RDX SUV AWD,2014,4.7,5,5,4,False
Acura,MDX SUV AWD,2017,4.7,5,5,4,False
Acura,MDX SUV FWD,2017,4.7,5,5,4,False
Acura,ILX 4 DR FWD,2017,4.3,4,5,4,False
Acura,RDX SUV FWD,2017,4.7,5,5,4,False
Acura,RDX SUV AWD,2017,4.7,5,5,4,False
Acura,TLX 4 DR AWD,2017,5.0,5,5,5,False
Acura,TLX 4 DR FWD,2017,5.0,5,5,5,False
Acura,RLX 4 DR FWD,2017,5.0,5,5,5,False
Acura,MDX Sport Hybrid SUV AWD,2017,4.7,5,5,4,False
Acura,MDX Sport Hybrid SUV AWD,2018,4.7,5,5,4,False
Acura,RLX 4 DR FWD,2019,5.0,5,5,5,False
Acura,TLX 4 DR FWD,2019,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2019,5.0,5,5,5,False
Acura,RDX 4 DR FWD,2019,4.3,4,5,4,False
Acura,RDX 4 DR AWD,2019,4.3,4,5,4,False
Acura,RDX SUV FWD,2018,4.7,5,5,4,False
Acura,RDX SUV AWD,2018,4.7,5,5,4,False
Acura,TLX 4 DR AWD,2018,5.0,5,5,5,False
Acura,TLX 4 DR FWD,2018,5.0,5,5,5,False
Acura,ILX 4 DR FWD,2020,4.3,4,5,4,False
Acura,MDX SUV FWD,2019,4.7,5,5,4,False
Acura,MDX SUV AWD,2019,4.7,5,5,4,False
Acura,MDX Sport Hybrid SUV AWD,2019,4.7,5,5,4,False
Acura,TLX 4 DR FWD,2020,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2020,5.0,5,5,5,False
Acura,RDX SUV FWD,2020,4.3,4,5,4,False
Acura,RLX 4 DR FWD,2020,5.0,5,5,5,False
Acura,RDX SUV AWD,2020,4.3,4,5,4,False
Acura,ILX 4 DR FWD,2019,4.3,4,5,4,False
Acura,MDX SUV FWD,2020,4.7,5,5,4,False
Acura,MDX SPORT HYBRID SUV AWD,2020,4.7,5,5,4,False
Acura,MDX SUV AWD,2020,4.7,5,5,4,False
Acura,ILX Hybrid 4 DR FWD,2015,4.3,4,5,4,False
Acura,RDX SUV AWD,2021,4.3,4,5,4,False
Acura,RDX SUV FWD,2021,4.3,4,5,4,False
Acura,RDX SUV FWD,2022,4.3,4,5,4,False
Acura,RDX SUV AWD,2022,4.3,4,5,4,False
Acura,MDX SUV FWD,2022,4.3,4,5,4,False
Acura,ILX 4 DR FWD,2021,4.3,4,5,4,False
Acura,TLX 4 DR FWD,2021,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2021,5.0,5,5,5,False
Acura,MDX SUV FWD,2023,4.3,4,5,4,False
Acura,ILX 4 DR FWD,2022,4.3,4,5,4,False
Acura,RDX SUV FWD,2023,4.3,4,5,4,False
Acura,RDX SUV AWD,2023,4.3,4,5,4,False
Acura,TLX 4 DR FWD,2023,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2023,5.0,5,5,5,False
Acura,INTEGRA 5 HB FWD,2023,5.0,5,5,5,False
Acura,TLX 4 DR FWD,2022,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2022,5.0,5,5,5,False
Acura,INTEGRA 5 HB FWD,2024,5.0,5,5,5,False
Acura,MDX SUV FWD,2024,4.3,4,5,4,False
Acura,RDX SUV FWD,2024,4.3,4,5,4,False
Acura,RDX SUV AWD,2024,4.3,4,5,4,False
Acura,TLX 4 DR FWD,2024,5.0,5,5,5,False
Acura,TLX 4 DR AWD,2024,5.0,5,5,5,False
Acura,MDX SUV 4WD,2012,4.3,4,5,4,False
Acura,TL 4 DR 4WD Later Release,2012,4.3,4,4,5,False
Acura,TL 4 DR FWD Later Release,2012,4.3,4,4,5,False
Acura,MDX SUV 4WD,2013,4.3,4,5,4,False
Acura,TL 4 DR FWD,2013,4.3,4,4,5,False
Acura,TL 4 DR 4WD,2013,4.3,4,4,5,False
Acura,TL 4 DR FWD,2014,4.3,4,4,5,False
Acura,TL 4 DR 4WD,2014,4.3,4,4,5,False
Acura,TL 4 DR FWD Early Release,2012,3.7,2,4,5,False
Acura,TL 4 DR 4WD Early Release,2012,3.7,2,4,5,False
Audi,A4 4 DR AWD,2013,5.0,5,5,5,False
Audi,A4 4 DR FWD,2013,5.0,5,5,5,False
Audi,S4 4 DR AWD,2013,5.0,5,5,5,False
Audi,A3 4 DR AWD,2015,4.3,4,5,4,False
Audi,A3 4 DR FWD,2015,4.3,4,5,4,False
Audi,S3 4 DR AWD,2015,4.3,4,5,4,False
Audi,A4 4 DR FWD,2015,5.0,5,5,5,False
Audi,A4 4 DR AWD,2015,5.0,5,5,5,False
Audi,S4 4 DR AWD,2015,5.0,5,5,5,False
Audi,Allroad SW AWD,2015,4.7,5,5,4,False
Audi,A6 4 DR FWD,2015,5.0,5,5,5,False
Audi,A6 4 DR AWD,2015,5.0,5,5,5,False
Audi,S6 4 DR AWD,2015,5.0,5,5,5,False
Audi,A3 4 DR AWD,2016,4.3,4,5,4,False
Audi,A3 4 DR FWD,2016,4.3,4,5,4,False
Audi,Allroad SW AWD,2016,4.7,5,5,4,False
Audi,A4 4 DR AWD,2016,5.0,5,5,5,False
Audi,A4 4 DR FWD,2016,5.0,5,5,5,False
Audi,S3 4 DR AWD,2016,4.3,4,5,4,False
Audi,S4 4 DR AWD,2016,5.0,5,5,5,False
Audi,A6 4 DR AWD,2016,5.0,5,5,5,False
Audi,A6 4 DR FWD,2016,5.0,5,5,5,False
Audi,S6 4 DR AWD,2016,5.0,5,5,5,False
Audi,S6 4 DR AWD,2014,5.0,5,5,5,False
Audi,Allroad SW AWD,2014,4.7,5,5,4,False
Audi,A6 4 DR AWD,2014,5.0,5,5,5,False
Audi,A6 4 DR FWD,2014,5.0,5,5,5,False
Audi,A4 4 DR AWD,2014,5.0,5,5,5,False
Audi,A4 4 DR FWD,2014,5.0,5,5,5,False
Audi,S4 4 DR AWD,2014,5.0,5,5,5,False
Audi,A3 4 DR AWD,2017,4.3,4,5,4,False
Audi,A3 4 DR FWD,2017,4.3,4,5,4,False
Audi,S3 4 DR AWD,2017,4.3,4,5,4,False
Audi,A6 4 DR FWD,2017,5.0,5,5,5,False
Audi,A6 4 DR AWD,2017,5.0,5,5,5,False
Audi,S6 4 DR AWD,2017,5.0,5,5,5,False
Audi,A4 4 DR AWD,2017,4.7,4,5,5,False
Audi,A4 4 DR FWD,2017,4.7,4,5,5,False
Audi,A5 Sportback 4 DR AWD,2018,4.7,4,5,5,False
Audi,Q5 SUV AWD Early Release,2018,4.7,5,5,4,False
Audi,Q7 SUV AWD,2018,4.3,4,5,4,False
Audi,A3 4 DR AWD,2018,4.3,4,5,4,False
Audi,A3 4 DR FWD,2018,4.3,4,5,4,False
Audi,S3 4 DR AWD,2018,4.3,4,5,4,False
Audi,A4 4 DR FWD,2018,4.7,4,5,5,False
Audi,A4 4 DR AWD,2018,4.7,4,5,5,False
Audi,A6 4 DR AWD,2018,5.0,5,5,5,False
Audi,A6 4 DR FWD,2018,5.0,5,5,5,False
Audi,S6 4 DR AWD,2018,5.0,5,5,5,False
Audi,Q5 SUV AWD Later Release,2018,4.7,5,5,4,False
Audi,A3 4 DR FWD,2020,4.3,4,5,4,False
Audi,S3 4 DR AWD,2020,4.3,4,5,4,False
Audi,A4 4 DR FWD,2020,4.7,4,5,5,False
Audi,A5 Sportback 4 DR AWD,2020,4.7,4,5,5,False
Audi,A6 allroad SW AWD,2020,4.7,4,5,5,False
Audi,A6 4 DR FWD,2020,4.7,4,5,5,False
Audi,Q3 SUV AWD,2020,4.3,4,5,4,False
Audi,e-tron SUV AWD,2019,4.7,4,5,5,False
Audi,Q5 SUV AWD,2020,4.7,5,5,4,False
Audi,Q8 SUV AWD,2020,4.7,5,5,4,False
Audi,e-tron SUV AWD,2020,4.7,4,5,5,False
Audi,e-tron Sportback SUV AWD,2020,4.7,4,5,5,False
Audi,A3 4 DR AWD,2020,4.3,4,5,4,False
Audi,A4 4 DR AWD,2020,4.7,4,5,5,False
Audi,A6 4 DR AWD,2020,4.7,4,5,5,False
Audi,A4 4 DR AWD,2019,4.7,4,5,5,False
Audi,A4 4 DR FWD,2019,4.7,4,5,5,False
Audi,A5 Sportback 4 DR AWD,2019,4.7,4,5,5,False
